"correct_response","gender","grammatical_property","grammatical_property_trigger","grammaticality","grammaticality_trigger","language","list","materials_version","noun_adj_ID","number","sentence","sentence_trigger","target_word_location","target_word_trigger","verb_noun_ID","verb_type","word1","word1_duration","word10","word10_duration","word2","word2_duration","word3","word3_duration","word4","word4_duration","word5","word5_duration","word6","word6_duration","word7","word7_duration","word8","word8_duration","word9","word9_duration"
"right_button","feminine","gender agreement","1","number violation","103","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","13_7","singular","Je wallet is newejur and je walnut too.","110","word4","40","","copula_be","Je","250","","","wallet","355","is","250","newejur","350","and","250","je","250","walnut","355","too.","285","",""
"right_button","feminine","gender agreement","1","number violation","103","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","14_7","singular","Je saucepan is newejur and je table too.","111","word4","40","","copula_be","Je","250","","","saucepan","425","is","250","newejur","350","and","250","je","250","table","320","too.","285","",""
"right_button","feminine","gender agreement","1","number violation","103","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","15_7","singular","Je table is newejur and je bedroom too.","112","word4","40","","copula_be","Je","250","","","table","320","is","250","newejur","350","and","250","je","250","bedroom","390","too.","285","",""
"right_button","feminine","gender agreement","1","number violation","103","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","16_7","singular","Je bedroom is newejur and je saucepan too.","113","word4","40","","copula_be","Je","250","","","bedroom","390","is","250","newejur","350","and","250","je","250","saucepan","425","too.","285","",""
"right_button","feminine","gender agreement","1","number violation","103","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","17_7","singular","Je walnut is newejur and je bedroom too.","114","word4","40","","copula_be","Je","250","","","walnut","355","is","250","newejur","350","and","250","je","250","bedroom","390","too.","285","",""
"right_button","feminine","gender agreement","1","number violation","103","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","18_7","singular","Je root is newejur and je saucepan too.","115","word4","40","","copula_be","Je","250","","","root","285","is","250","newejur","350","and","250","je","250","saucepan","425","too.","285","",""
"right_button","masculine","gender agreement","1","number violation","103","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","19_7","singular","Ze mirror is newezur and ze drum too.","116","word4","40","","copula_be","Ze","250","","","mirror","355","is","250","newezur","350","and","250","ze","250","drum","285","too.","285","",""
"right_button","masculine","gender agreement","1","number violation","103","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","20_7","singular","Ze dress is newezur and ze drum too.","117","word4","40","","copula_be","Ze","250","","","dress","320","is","250","newezur","350","and","250","ze","250","drum","285","too.","285","",""
"right_button","masculine","gender agreement","1","number violation","103","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","21_7","singular","Ze roof is newezur and ze fork too.","118","word4","40","","copula_be","Ze","250","","","roof","285","is","250","newezur","350","and","250","ze","250","fork","285","too.","285","",""
"right_button","masculine","gender agreement","1","number violation","103","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","22_7","singular","Ze avocado is newezur and ze roof too.","119","word4","40","","copula_be","Ze","250","","","avocado","390","is","250","newezur","350","and","250","ze","250","roof","285","too.","285","",""
"right_button","masculine","gender agreement","1","number violation","103","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","23_7","singular","Ze drum is newezur and ze dress too.","120","word4","40","","copula_be","Ze","250","","","drum","285","is","250","newezur","350","and","250","ze","250","dress","320","too.","285","",""
"right_button","masculine","gender agreement","1","number violation","103","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","24_7","singular","Ze fork is newezur and ze roof too.","121","word4","40","","copula_be","Ze","250","","","fork","285","is","250","newezur","350","and","250","ze","250","roof","285","too.","285","",""
"left_button","feminine","gender agreement","1","grammatical","101","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","13_8","plural","Jer wallet look oldejur but jer bedroom not.","122","word4","41","","copula_look","Jer","250","","","wallet","355","look","285","oldejur","350","but","250","jer","250","bedroom","390","not.","285","",""
"left_button","feminine","gender agreement","1","grammatical","101","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","14_8","plural","Jer saucepan look oldejur but jer wallet not.","123","word4","41","","copula_look","Jer","250","","","saucepan","425","look","285","oldejur","350","but","250","jer","250","wallet","355","not.","285","",""
"left_button","feminine","gender agreement","1","grammatical","101","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","15_8","plural","Jer table look oldejur but jer saucepan not.","124","word4","41","","copula_look","Jer","250","","","table","320","look","285","oldejur","350","but","250","jer","250","saucepan","425","not.","285","",""
"left_button","feminine","gender agreement","1","grammatical","101","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","16_8","plural","Jer bedroom look oldejur but jer wallet not.","125","word4","41","","copula_look","Jer","250","","","bedroom","390","look","285","oldejur","350","but","250","jer","250","wallet","355","not.","285","",""
"left_button","feminine","gender agreement","1","grammatical","101","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","17_8","plural","Jer walnut look oldejur but jer table not.","126","word4","41","","copula_look","Jer","250","","","walnut","355","look","285","oldejur","350","but","250","jer","250","table","320","not.","285","",""
"left_button","feminine","gender agreement","1","grammatical","101","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","18_8","plural","Jer root look oldejur but jer walnut not.","127","word4","41","","copula_look","Jer","250","","","root","285","look","285","oldejur","350","but","250","jer","250","walnut","355","not.","285","",""
